"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1438",0.9,"Good","H","SI1",64.2,60,2974,6.05,6.02,3.87
"3941",1.01,"Ideal","H","SI2",61.6,56,3501,6.48,6.44,3.98
"2045",0.32,"Premium","H","VS1",61.3,60,561,4.33,4.38,2.67
"4413",1.01,"Very Good","I","SI1",58.8,58,3610,6.52,6.57,3.85
"4699",1.01,"Good","I","SI1",64.1,59,3676,6.24,6.21,3.99
"228",0.84,"Fair","G","SI1",55.1,67,2782,6.39,6.2,3.47
"2638",0.71,"Ideal","H","VS1",61.4,56,3229,5.74,5.78,3.54
"4456",1.01,"Very Good","J","VS2",63.3,54,3620,6.42,6.34,4.04
"2753",0.9,"Good","H","SI2",63.6,60,3250,6.06,6.11,3.87
"2279",0.8,"Very Good","G","VS1",59.5,63,3158,6.11,6.05,3.61
"4775",0.77,"Very Good","F","VS2",62.6,55,3692,5.85,5.88,3.67
"2262",0.71,"Ideal","D","VS2",62,57,3153,5.69,5.73,3.54
"3380",0.31,"Premium","I","SI1",61.3,58,408,4.34,4.37,2.67
"2856",0.8,"Good","E","VS2",64.5,56,3273,5.8,5.86,3.76
"514",0.61,"Ideal","E","VVS2",61.3,54,2823,5.51,5.59,3.4
"4486",0.83,"Ideal","E","VS2",61.8,57,3625,6.04,6.03,3.73
"1227",0.7,"Ideal","F","VS1",61.2,54,2940,5.92,5.64,3.54
"210",0.74,"Ideal","E","SI1",61.7,56,2779,5.84,5.8,3.59
"1634",0.9,"Good","F","SI2",64.2,62,3016,6,6.08,3.88
"4755",0.91,"Very Good","F","SI2",61.2,59,3688,6.2,6.22,3.8
"4430",0.91,"Very Good","G","SI2",62.9,54,3615,6.14,6.22,3.89
"3450",0.9,"Very Good","H","SI1",63,55,3388,6.12,6.16,3.87
"3189",0.73,"Ideal","G","VS1",60.8,58,3342,5.81,5.87,3.55
"4949",1.15,"Good","J","SI2",63.8,60,3733,6.63,6.56,4.21
"3263",1.02,"Very Good","J","SI2",63.1,58,3359,6.38,6.34,4.01
"3525",0.71,"Ideal","D","VS1",61.3,56,3406,5.75,5.77,3.53
"2707",0.31,"Ideal","H","VS1",61.3,55,562,4.36,4.38,2.68
"2955",0.83,"Very Good","E","SI1",63.8,54,3295,5.96,6.04,3.83
"5000",1.05,"Very Good","I","SI2",62.3,59,3742,6.42,6.46,4.01
"732",0.31,"Ideal","I","VVS1",61.3,56,557,4.36,4.38,2.68
"4787",1.2,"Very Good","H","I1",58.6,57,3696,6.96,7.01,4.09
"4484",0.9,"Premium","E","SI1",60.7,61,3625,6.19,6.17,3.75
"3432",0.9,"Premium","I","VS2",59.1,59,3385,6.28,6.24,3.7
"3952",0.71,"Ideal","G","VVS2",61.5,56,3504,5.74,5.69,3.52
"123",0.7,"Very Good","F","VS2",61.7,63,2762,5.64,5.61,3.47
"2373",0.32,"Ideal","G","VS2",62,57,561,4.39,4.41,2.73
"3765",0.9,"Very Good","F","SI2",63.1,58,3457,6.13,6.11,3.86
"1075",0.31,"Premium","H","SI1",61,61,558,4.39,4.33,2.66
"1579",0.71,"Ideal","G","SI1",61.9,56,3007,5.73,5.76,3.55
"1150",0.75,"Very Good","E","SI1",62.3,58,2923,5.78,5.81,3.61
"709",0.68,"Premium","F","VVS2",61.7,57,2854,5.67,5.64,3.49
"2056",0.32,"Premium","G","VS2",62.6,60,561,4.33,4.36,2.72
"2052",0.32,"Very Good","H","VS1",61.7,61,561,4.38,4.43,2.72
"1829",0.71,"Very Good","E","VS1",61.8,56,3059,5.74,5.78,3.56
"756",0.72,"Ideal","E","SI1",62.3,57,2857,5.76,5.7,3.57
"688",0.74,"Ideal","F","SI1",61,57,2851,5.85,5.81,3.56
"1155",0.78,"Ideal","F","SI1",61.1,56,2923,5.94,5.98,3.64
"2308",0.73,"Ideal","H","VS2",61,56,3164,5.83,5.88,3.57
"1318",0.79,"Ideal","I","VS1",62.2,57,2958,5.89,5.94,3.68
"4248",0.9,"Ideal","H","SI2",62,57,3578,6.17,6.19,3.83
"227",0.7,"Premium","D","SI1",62.8,60,2782,5.68,5.66,3.56
"2189",0.71,"Ideal","H","VVS1",61.1,56,3137,5.78,5.81,3.53
"3954",0.7,"Ideal","E","VS2",61.3,57,3504,5.73,5.75,3.52
"604",0.7,"Premium","F","VS2",59.5,58,2838,5.85,5.75,3.45
"2775",0.77,"Ideal","G","SI1",61.5,56,3253,5.89,5.92,3.63
"1022",0.75,"Premium","D","SI1",62.8,60,2903,5.78,5.74,3.62
"631",0.82,"Ideal","F","SI2",61.7,53,2841,6,6.12,3.74
"3724",0.36,"Good","I","VS1",63.3,56,568,4.51,4.56,2.87
"4424",0.78,"Ideal","G","VS2",61.7,56,3613,5.89,5.94,3.65
"1851",0.7,"Ideal","F","VS2",61.6,55,3064,5.72,5.75,3.53
"3286",0.91,"Ideal","H","SI2",60.3,57,3363,6.31,6.27,3.79
"469",0.7,"Ideal","E","VS1",62.9,57,2818,5.66,5.61,3.54
"1897",0.71,"Fair","D","VS2",64.7,58,3077,5.61,5.58,3.62
"1355",0.7,"Good","E","VS1",63.6,58,2964,5.61,5.56,3.55
"4022",0.93,"Ideal","G","SI1",60.9,57,3521,6.29,6.25,3.82
"2214",0.68,"Very Good","G","IF",62.7,56,3143,5.56,5.6,3.5
"3997",0.9,"Ideal","H","SI2",62,57,3516,6.19,6.17,3.83
"4008",0.9,"Very Good","F","SI2",61.4,57,3519,6.21,6.24,3.82
"3918",0.83,"Premium","F","VS2",60.2,60,3495,6.09,6.04,3.65
"2169",0.82,"Ideal","G","SI1",61.8,55,3133,6.02,6.05,3.73
"3720",0.74,"Ideal","F","VS2",61.9,57,3454,5.79,5.81,3.59
"3102",0.71,"Ideal","D","VS2",61.2,57,3321,5.73,5.77,3.52
"3500",0.88,"Premium","G","VS2",61.1,58,3400,6.19,6.15,3.77
"4",0.29,"Premium","I","VS2",62.4,58,334,4.2,4.23,2.63
"2342",0.83,"Ideal","H","VS2",61.6,55,3171,6.04,6.08,3.73
"1085",0.71,"Ideal","H","VS1",61.2,56,2909,5.76,5.81,3.54
"1871",0.8,"Very Good","G","SI1",62.1,56,3071,6.01,5.85,3.68
"3017",0.73,"Very Good","E","VS2",61.5,58,3307,5.71,5.8,3.54
"1732",0.32,"Very Good","E","SI1",60.1,60,561,4.42,4.47,2.67
"547",0.72,"Ideal","F","VS1",61.7,57,2829,5.77,5.74,3.55
"1199",0.91,"Premium","H","SI1",60.2,52,2935,6.27,6.15,3.74
"3287",0.91,"Premium","H","SI2",62.7,58,3363,6.17,6.14,3.86
"2054",0.32,"Premium","G","VS2",62.6,59,561,4.33,4.36,2.72
"3876",0.9,"Very Good","E","SI2",63.7,56,3482,6.08,6.13,3.89
"506",0.7,"Ideal","D","SI1",62.5,57,2822,5.62,5.59,3.51
"2138",0.82,"Ideal","G","SI1",60.7,57,3123,6.07,6.06,3.68
"4841",1.01,"Very Good","F","SI2",59.5,57,3709,6.61,6.66,3.95
"4388",0.31,"Very Good","D","SI1",60,61,571,4.41,4.43,2.65
"4355",1.04,"Very Good","I","SI2",59.6,57,3603,6.6,6.62,3.94
"860",0.73,"Good","E","SI1",63.6,57,2871,5.7,5.72,3.63
"642",0.7,"Very Good","E","VS2",60.2,62,2843,5.71,5.75,3.45
"3207",0.71,"Ideal","E","VS1",62.3,56,3346,5.69,5.74,3.56
"1686",1.01,"Very Good","H","SI2",63.5,55,3032,6.32,6.27,4
"3223",0.77,"Very Good","D","VS2",63,58,3351,5.81,5.85,3.67
"1572",0.71,"Very Good","E","VS1",63.2,60,3006,5.63,5.6,3.55
"921",0.72,"Ideal","F","VS1",62,56,2879,5.76,5.73,3.56
"3837",1,"Fair","H","SI2",66.1,59,3472,6.18,6.13,4.07
"459",0.71,"Ideal","E","SI1",61.3,55,2817,5.77,5.72,3.52
"2289",0.9,"Ideal","J","VS2",61.3,57,3160,6.16,6.24,3.8
"2507",0.71,"Ideal","F","VS1",61.1,56,3199,5.71,5.74,3.5
"2940",0.9,"Premium","I","VS2",62.6,62,3292,6.13,6.04,3.81
"1631",0.72,"Very Good","D","VS2",62.1,59,3016,5.7,5.73,3.55
"2394",0.32,"Ideal","G","VS2",62.5,56,561,4.38,4.42,2.75
"4675",0.78,"Very Good","D","VS2",59.8,60,3672,5.97,6.03,3.59
"2365",0.7,"Good","E","VS1",63.6,58,3175,5.67,5.62,3.59
"4359",1.1,"Premium","I","SI2",62.9,59,3604,6.6,6.53,4.13
"4476",0.92,"Premium","H","SI1",62.4,58,3624,6.19,6.22,3.87
"2979",0.71,"Ideal","D","VS2",61.5,55,3299,5.75,5.79,3.55
"2010",0.83,"Ideal","E","SI2",61.9,53,3103,6.04,6.08,3.75
"720",1,"Fair","I","SI1",67.9,62,2856,6.19,6.03,4.15
"4574",0.92,"Premium","G","SI2",58.4,58,3648,6.4,6.34,3.73
"1473",0.71,"Premium","E","VS2",62.6,58,2982,5.72,5.68,3.57
"297",0.7,"Fair","G","VVS1",58.8,66,2797,5.81,5.9,3.44
"4632",0.7,"Very Good","D","VS2",60.6,60,3668,5.71,5.75,3.47
"3521",0.72,"Very Good","G","IF",63.3,54,3405,5.64,5.73,3.6
"696",0.79,"Ideal","D","SI2",62.8,57,2853,5.9,5.85,3.69
"2683",0.72,"Ideal","F","SI1",60.2,57,3242,5.83,5.86,3.52
